,Year,Energy Consumption (exajoules)
138,1750,9.4898142892
139,1751,9.568696684679999
140,1752,9.64757908016
141,1753,9.72646147564
142,1754,9.80534387112
143,1755,9.884226266599999
144,1756,9.96310866208
145,1757,10.04199105756
146,1758,10.12087345304
147,1759,10.199755848519999
1,1760,10.278638244
148,1761,10.5304222879
149,1762,10.7822063318
150,1763,11.0339903757
151,1764,11.2857744196
152,1765,11.5375584635
153,1766,11.7893425074
154,1767,12.0411265513
155,1768,12.2929105952
156,1769,12.5446946391
157,1770,12.796478683
158,1771,13.048262726899999
159,1772,13.3000467708
160,1773,13.5518308147
161,1774,13.8036148586
162,1775,14.0553989025
163,1776,14.307182946400001
164,1777,14.5589669903
165,1778,14.810751034199999
166,1779,15.062535078100002
167,1780,15.314319122
168,1781,15.5661031659
169,1782,15.8178872098
170,1783,16.0696712537
171,1784,16.3214552976
172,1785,16.5732393415
173,1786,16.8250233854
174,1787,17.0768074293
175,1788,17.3285914732
176,1789,17.580375517100002
177,1790,17.832159561
178,1791,18.0839436049
179,1792,18.335727648800002
180,1793,18.5875116927
181,1794,18.8392957366
182,1795,19.091079780500003
183,1796,19.3428638244
184,1797,19.5946478683
185,1798,19.846431912200003
186,1799,20.0982159561
2,1800,20.35
187,1801,20.461000000000002
188,1802,20.572000000000003
189,1803,20.683
190,1804,20.794
191,1805,20.905
192,1806,21.016000000000002
193,1807,21.127000000000002
194,1808,21.238
195,1809,21.349
3,1810,21.46
196,1811,21.569000000000003
197,1812,21.678
198,1813,21.787
199,1814,21.896
200,1815,22.005000000000003
201,1816,22.114
202,1817,22.223
203,1818,22.332
204,1819,22.441000000000003
4,1820,22.55
205,1821,22.69
206,1822,22.830000000000002
207,1823,22.97
208,1824,23.11
209,1825,23.25
210,1826,23.39
211,1827,23.53
212,1828,23.669999999999998
213,1829,23.81
5,1830,23.95
214,1831,24.183
215,1832,24.416
216,1833,24.649
217,1834,24.882
218,1835,25.115000000000002
219,1836,25.348
220,1837,25.581
221,1838,25.814
222,1839,26.047
6,1840,26.28
223,1841,26.457
224,1842,26.634
225,1843,26.811
226,1844,26.988
227,1845,27.165
228,1846,27.342000000000002
229,1847,27.519000000000002
230,1848,27.696
231,1849,27.873
7,1850,28.05
232,1851,28.127000000000002
233,1852,28.204
234,1853,28.281
235,1854,28.358
236,1855,28.435000000000002
237,1856,28.512
238,1857,28.589
239,1858,28.666
240,1859,28.743000000000002
8,1860,28.82
241,1861,29.031
242,1862,29.242
243,1863,29.453
244,1864,29.664
245,1865,29.875
246,1866,30.086
247,1867,30.297
248,1868,30.508
249,1869,30.719
9,1870,30.93
250,1871,31.268
251,1872,31.606
252,1873,31.944
253,1874,32.282000000000004
254,1875,32.620000000000005
255,1876,32.958
256,1877,33.296
257,1878,33.634
258,1879,33.972
10,1880,34.31
259,1881,34.716
260,1882,35.122
261,1883,35.528
262,1884,35.934
263,1885,36.34
264,1886,36.746
265,1887,37.152
266,1888,37.558
267,1889,37.964
11,1890,38.37
268,1891,38.888999999999996
269,1892,39.408
270,1893,39.927
271,1894,40.446
272,1895,40.965
273,1896,41.484
274,1897,42.003
275,1898,42.522
276,1899,43.041000000000004
12,1900,43.56
277,1901,44.826
278,1902,46.092
279,1903,47.358000000000004
280,1904,48.624
281,1905,49.89
282,1906,51.156
283,1907,52.422
284,1908,53.688
285,1909,54.954
13,1910,56.22
286,1911,57.065
287,1912,57.91
288,1913,58.755
289,1914,59.6
290,1915,60.445
291,1916,61.29
292,1917,62.135
293,1918,62.980000000000004
294,1919,63.825
14,1920,64.67
295,1921,65.344
296,1922,66.018
297,1923,66.69200000000001
298,1924,67.366
299,1925,68.03999999999999
300,1926,68.714
301,1927,69.388
302,1928,70.062
303,1929,70.73599999999999
15,1930,71.41
304,1931,72.37899999999999
305,1932,73.348
306,1933,74.317
307,1934,75.286
308,1935,76.255
309,1936,77.22399999999999
310,1937,78.193
311,1938,79.16199999999999
312,1939,80.131
16,1940,81.1
313,1941,83.06
314,1942,85.02
315,1943,86.97999999999999
316,1944,88.94
317,1945,90.9
318,1946,92.86
319,1947,94.82
320,1948,96.78
321,1949,98.74000000000001
17,1950,100.7
18,1951,105.205
19,1952,109.71
20,1953,114.215
21,1954,118.72
22,1955,123.225
23,1956,127.73
24,1957,132.235
25,1958,136.74
26,1959,141.245
27,1960,145.75
28,1961,153.51
29,1962,161.27
30,1963,169.03
31,1964,176.79
32,1965,156.177249198345
33,1966,164.676130929906
34,1967,170.826062908968
35,1968,181.121134745462
36,1969,193.585212470782
37,1970,205.567664360371
38,1971,214.033617557011
39,1972,225.332561115912
40,1973,238.132439843289
41,1974,239.187121755485
42,1975,240.137892071807
43,1976,253.227880554784
44,1977,262.061869062578
45,1978,270.211630316346
46,1979,279.664734395855
47,1980,277.934368754403
48,1981,276.48872816101
49,1982,275.122921391082
50,1983,279.260063646653
51,1984,292.563500631624
52,1985,300.56976500624
53,1986,307.112213863196
54,1987,317.925649868131
55,1988,329.92215064065
56,1989,337.043401887639
57,1990,340.640340357654
58,1991,343.111473167278
59,1992,345.790566776273
60,1993,347.902009196129
61,1994,352.477065989948
62,1995,359.600310809353
63,1996,370.094024723843
64,1997,374.048535062513
65,1998,376.733009183034
66,1999,383.518454417116
67,2000,393.067266865119
68,2001,397.800818226788
69,2002,406.759433108677
70,2003,422.106512281778
71,2004,442.236407404348
72,2005,458.037146044015
73,2006,471.761306137587
74,2007,486.394201122912
75,2008,493.239562245545
76,2009,485.605542819498
77,2010,510.00883894513
78,2011,521.274414366312
79,2012,528.461851078495
80,2013,538.972728855185
81,2014,545.146193850553
82,2015,550.452880051626
