,Year,Global Forest Coverage (square kilometers)
32,1750,83562946.62110001
11791,1751,83476031.44623001
11792,1752,83389116.27136001
11793,1753,83302201.09649001
11794,1754,83215285.92162001
11795,1755,83128370.74675
11796,1756,83041455.57188
11797,1757,82954540.39701
11798,1758,82867625.22214
11799,1759,82780710.04727
33,1760,82693794.8724
11800,1761,82611084.96573
11801,1762,82528375.05906
11802,1763,82445665.15239
11803,1764,82362955.24572
11804,1765,82280245.33905
11805,1766,82197535.43238
11806,1767,82114825.52571
11807,1768,82032115.61904
11808,1769,81949405.71237001
34,1770,81866695.8057
11809,1771,81782019.49972
11810,1772,81697343.19374001
11811,1773,81612666.88776
11812,1774,81527990.58178
11813,1775,81443314.2758
11814,1776,81358637.96982001
11815,1777,81273961.66384001
11816,1778,81189285.35786
11817,1779,81104609.05188
35,1780,81019932.7459
11818,1781,80955856.15552
11819,1782,80891779.56514001
11820,1783,80827702.97476
11821,1784,80763626.38438
11822,1785,80699549.794
11823,1786,80635473.20362
11824,1787,80571396.61324
11825,1788,80507320.02285999
11826,1789,80443243.43247999
36,1790,80379166.8421
11827,1791,80280597.53125
11828,1792,80182028.22039999
11829,1793,80083458.90955
11830,1794,79984889.59869999
11831,1795,79886320.28784999
11832,1796,79787750.977
11833,1797,79689181.66614999
11834,1798,79590612.3553
11835,1799,79492043.04444999
37,1800,79393473.73359999
11836,1801,79312090.67563999
11837,1802,79230707.61768
11838,1803,79149324.55972
11839,1804,79067941.50175999
11840,1805,78986558.4438
11841,1806,78905175.38584
11842,1807,78823792.32788
11843,1808,78742409.26991999
11844,1809,78661026.21196
38,1810,78579643.154
11845,1811,78506997.42103
11846,1812,78434351.68806
11847,1813,78361705.95509
11848,1814,78289060.22212
11849,1815,78216414.48914999
11850,1816,78143768.75617999
11851,1817,78071123.02320999
11852,1818,77998477.29023999
11853,1819,77925831.55726999
39,1820,77853185.82429999
11854,1821,77690904.4277
11855,1822,77528623.03109999
11856,1823,77366341.6345
11857,1824,77204060.23789999
11858,1825,77041778.8413
11859,1826,76879497.4447
11860,1827,76717216.0481
11861,1828,76554934.6515
11862,1829,76392653.2549
40,1830,76230371.8583
11863,1831,76081731.4034
11864,1832,75933090.9485
11865,1833,75784450.4936
11866,1834,75635810.0387
11867,1835,75487169.5838
11868,1836,75338529.1289
11869,1837,75189888.67400001
11870,1838,75041248.2191
11871,1839,74892607.7642
41,1840,74743967.3093
11872,1841,74641876.43218
11873,1842,74539785.55506
11874,1843,74437694.67794001
11875,1844,74335603.80082001
11876,1845,74233512.9237
11877,1846,74131422.04658
11878,1847,74029331.16946
11879,1848,73927240.29234001
11880,1849,73825149.41522
42,1850,73723058.5381
11881,1851,73592640.59493001
11882,1852,73462222.65176
11883,1853,73331804.70859
11884,1854,73201386.76542
11885,1855,73070968.82225001
11886,1856,72940550.87908
11887,1857,72810132.93591
11888,1858,72679714.99274
11889,1859,72549297.04957
43,1860,72418879.1064
11890,1861,72340593.96761
11891,1862,72262308.82882
11892,1863,72184023.69003
11893,1864,72105738.55124
11894,1865,72027453.41245
11895,1866,71949168.27366
11896,1867,71870883.13487001
11897,1868,71792597.99608
11898,1869,71714312.85729
44,1870,71636027.7185
11899,1871,71359997.90499
11900,1872,71083968.09148
11901,1873,70807938.27797
11902,1874,70531908.46446
11903,1875,70255878.65095
11904,1876,69979848.83744
11905,1877,69703819.02393
11906,1878,69427789.21042
11907,1879,69151759.39691
45,1880,68875729.5834
11908,1881,68626781.80024
11909,1882,68377834.01708
11910,1883,68128886.23392
11911,1884,67879938.45075999
11912,1885,67630990.66759999
11913,1886,67382042.88443999
11914,1887,67133095.10127999
11915,1888,66884147.318119995
11916,1889,66635199.534959994
46,1890,66386251.75179999
11917,1891,65895369.90762
11918,1892,65404488.063439995
11919,1893,64913606.21925999
11920,1894,64422724.37508
11921,1895,63931842.5309
11922,1896,63440960.68672
11923,1897,62950078.842539996
11924,1898,62459196.99836
11925,1899,61968315.154180005
47,1900,61477433.31
11926,1901,61221480.70242
11927,1902,60965528.094840005
11928,1903,60709575.48726
11929,1904,60453622.87968
11930,1905,60197670.2721
11931,1906,59941717.66452
11932,1907,59685765.056940004
11933,1908,59429812.44936
11934,1909,59173859.84178
48,1910,58917907.2342
11935,1911,58670957.554638
11936,1912,58424007.875076
11937,1913,58177058.195514
11938,1914,57930108.515952
11939,1915,57683158.83639
11940,1916,57436209.156828
11941,1917,57189259.477266
11942,1918,56942309.797704
11943,1919,56695360.118142
49,1920,56448410.43858
11944,1921,56197907.650005996
11945,1922,55947404.861432
11946,1923,55696902.072858
11947,1924,55446399.284284
11948,1925,55195896.49571
11949,1926,54945393.707136
11950,1927,54694890.918562
11951,1928,54444388.129988
11952,1929,54193885.341414005
50,1930,53943382.55284
11953,1931,53683377.388016
11954,1932,53423372.223192
11955,1933,53163367.058368005
11956,1934,52903361.893544
11957,1935,52643356.72872
11958,1936,52383351.563896
11959,1937,52123346.399072
11960,1938,51863341.234248005
11961,1939,51603336.069424
51,1940,51343330.9046
11962,1941,51114409.886982
11963,1942,50885488.869364
11964,1943,50656567.851746
11965,1944,50427646.834128
11966,1945,50198725.81651001
11967,1946,49969804.79889201
11968,1947,49740883.781274006
11969,1948,49511962.763656005
11970,1949,49283041.746038005
52,1950,49054120.728420004
11971,1951,48851029.769951
11972,1952,48647938.811482005
11973,1953,48444847.853013
11974,1954,48241756.894544005
11975,1955,48038665.936075
11976,1956,47835574.977606
11977,1957,47632484.019137
11978,1958,47429393.060668
11979,1959,47226302.102199
53,1960,47023211.14373
11980,1961,46927449.873153
11981,1962,46831688.602576
11982,1963,46735927.331999
11983,1964,46640166.061422
11984,1965,46544404.790845
11985,1966,46448643.520268
11986,1967,46352882.249691
11987,1968,46257120.979113996
11988,1969,46161359.708537
54,1970,46065598.43796
11989,1971,45939592.303325996
11990,1972,45813586.168692
11991,1973,45687580.034058
11992,1974,45561573.899424
11993,1975,45435567.76479
11994,1976,45309561.630155995
11995,1977,45183555.495522
11996,1978,45057549.360888
11997,1979,44931543.226254
55,1980,44805537.09162
11998,1981,44731474.055088
11999,1982,44657411.018556
12000,1983,44583347.982024
12001,1984,44509284.945492
12002,1985,44435221.90896
12003,1986,44361158.872428
12004,1987,44287095.835896
12005,1988,44213032.799364
12006,1989,44138969.762832
56,1990,44064906.7263
12007,1991,43985262.16123
12008,1992,43905617.59616
12009,1993,43825973.03109
12010,1994,43746328.46602
12011,1995,43666683.90095
12012,1996,43587039.33588
12013,1997,43507394.77081
12014,1998,43427750.20574
12015,1999,43348105.64067
57,2000,43268461.0756
58,2001,43241198.62592
59,2002,43222502.55938
60,2003,43206015.469689995
61,2004,43153852.76851
62,2005,43201992.05833
63,2006,43192384.59466
64,2007,43161114.39533
65,2008,43137004.83032
66,2009,43133425.03644
67,2010,43131579.70398
68,2011,43195316.3481
69,2012,43163799.668290004
70,2013,43148826.61663
71,2014,43102665.26534
72,2015,43060613.128869995
12016,2016,40788831.4
12017,2017,40738958.1
