,Year,Number of Volcanic Eruptions
212,1750,0
213,1751,0
214,1752,0
0,1753,1
1,1754,1
2,1755,1
215,1756,0
3,1757,1
216,1758,0
217,1759,0
4,1760,1
218,1761,0
5,1762,1
219,1763,0
220,1764,0
221,1765,0
6,1766,2
222,1767,0
7,1768,1
223,1769,0
8,1770,1
224,1771,0
9,1772,2
10,1773,1
225,1774,0
11,1775,2
226,1776,0
227,1777,0
12,1778,1
13,1779,2
14,1780,4
15,1781,1
228,1782,0
16,1783,2
17,1784,3
18,1785,1
19,1786,1
229,1787,0
230,1788,0
20,1789,1
21,1790,1
231,1791,0
22,1792,1
232,1793,0
23,1794,1
233,1795,0
234,1796,0
24,1797,1
235,1798,0
236,1799,0
25,1800,5
26,1801,1
237,1802,0
27,1803,2
28,1804,1
29,1805,1
238,1806,0
239,1807,0
30,1808,1
240,1809,0
241,1810,0
242,1811,0
31,1812,2
32,1813,1
33,1814,1
34,1815,1
35,1816,1
36,1817,2
37,1818,1
38,1819,1
39,1820,2
243,1821,0
40,1822,3
41,1823,1
244,1824,0
42,1825,2
43,1826,3
44,1827,2
245,1828,0
45,1829,1
246,1830,0
247,1831,0
46,1832,2
47,1833,1
248,1834,0
48,1835,2
249,1836,0
49,1837,1
50,1838,1
51,1839,1
52,1840,5
53,1841,1
250,1842,0
54,1843,4
251,1844,0
55,1845,3
56,1846,3
57,1847,2
58,1848,1
252,1849,0
59,1850,1
253,1851,0
254,1852,0
60,1853,3
61,1854,3
255,1855,0
62,1856,3
63,1857,1
64,1858,3
256,1859,0
65,1860,3
66,1861,3
257,1862,0
67,1863,1
68,1864,1
258,1865,0
69,1866,2
70,1867,1
71,1868,2
72,1869,2
73,1870,3
74,1871,4
75,1872,6
76,1873,2
77,1874,2
78,1875,3
259,1876,0
79,1877,2
80,1878,4
81,1879,1
260,1880,0
261,1881,0
262,1882,0
82,1883,5
83,1884,1
84,1885,2
85,1886,3
86,1887,1
87,1888,2
88,1889,1
89,1890,2
263,1891,0
90,1892,3
91,1893,2
92,1894,1
93,1895,4
94,1896,1
95,1897,2
264,1898,0
96,1899,2
97,1900,4
98,1901,2
99,1902,8
100,1903,2
101,1904,1
102,1905,2
103,1906,2
104,1907,9
265,1908,0
105,1909,2
106,1910,2
107,1911,5
108,1912,2
109,1913,5
110,1914,4
266,1915,0
111,1916,2
112,1917,4
113,1918,2
114,1919,6
115,1920,2
116,1921,1
267,1922,0
117,1923,4
118,1924,1
268,1925,0
119,1926,2
120,1927,1
121,1928,6
122,1929,4
123,1930,4
124,1931,1
125,1932,3
126,1933,4
127,1934,1
269,1935,0
128,1936,2
129,1937,2
130,1938,4
131,1939,3
132,1940,3
133,1941,2
270,1942,0
134,1943,2
135,1944,7
271,1945,0
136,1946,4
137,1947,4
138,1948,1
139,1949,3
140,1950,3
141,1951,6
142,1952,6
143,1953,9
144,1954,4
145,1955,2
146,1956,1
147,1957,4
148,1958,3
272,1959,0
149,1960,1
150,1961,5
151,1962,3
152,1963,8
153,1964,3
154,1965,2
155,1966,4
156,1967,4
157,1968,2
158,1969,4
159,1970,2
160,1971,6
161,1972,3
162,1973,4
163,1974,7
164,1975,3
165,1976,5
166,1977,5
167,1978,5
168,1979,6
169,1980,3
170,1981,8
171,1982,4
172,1983,4
173,1984,5
174,1985,3
175,1986,5
176,1987,3
177,1988,5
178,1989,2
179,1990,10
180,1991,7
181,1992,8
182,1993,9
183,1994,7
184,1995,6
185,1996,7
186,1997,9
187,1998,3
188,1999,5
189,2000,5
190,2001,4
191,2002,6
192,2003,1
193,2004,3
194,2005,3
195,2006,8
196,2007,5
197,2008,4
198,2009,2
199,2010,9
200,2011,10
201,2012,3
202,2013,8
203,2014,6
204,2015,7
205,2016,5
206,2017,8
