,Year,Total Dams Built
1918,1750,12.0
1919,1751,12.0
1920,1752,12.0
1921,1753,12.0
1922,1754,12.0
1923,1755,12.0
1924,1756,12.0
1925,1757,12.0
1926,1758,12.0
1927,1759,12.0
1928,1760,12.0
1929,1761,12.0
1930,1762,12.0
1931,1763,12.0
1932,1764,12.0
1933,1765,12.0
1934,1766,12.0
1935,1767,12.0
1936,1768,12.0
1937,1769,12.0
1938,1770,12.0
1939,1771,12.0
1940,1772,12.0
1941,1773,12.0
1942,1774,12.0
1943,1775,12.0
1944,1776,12.0
1945,1777,12.0
1946,1778,12.0
1947,1779,12.0
1948,1780,12.0
1949,1781,12.0
1950,1782,12.0
1951,1783,12.0
1952,1784,12.0
1953,1785,12.0
1954,1786,12.0
1955,1787,12.0
1956,1788,12.0
1957,1789,12.0
1958,1790,12.0
1959,1791,12.0
1960,1792,12.0
1961,1793,12.0
1962,1794,12.0
1963,1795,12.0
1964,1796,12.0
1965,1797,12.0
1966,1798,12.0
1967,1799,12.0
1968,1800,12.0
1969,1801,12.0
1970,1802,12.0
1971,1803,12.0
1972,1804,12.0
1973,1805,12.0
10,1806,13.0
1974,1807,13.0
1975,1808,13.0
1976,1809,13.0
1977,1810,13.0
1978,1811,13.0
1979,1812,13.0
1980,1813,13.0
1981,1814,13.0
1982,1815,13.0
1983,1816,13.0
1984,1817,13.0
1985,1818,13.0
1986,1819,13.0
1987,1820,13.0
1988,1821,13.0
1989,1822,13.0
1990,1823,13.0
1991,1824,13.0
12,1825,15.0
1992,1826,15.0
1993,1827,15.0
1994,1828,15.0
1995,1829,15.0
13,1830,16.0
1996,1831,16.0
14,1832,17.0
1997,1833,17.0
1998,1834,17.0
15,1835,18.0
17,1836,21.0
1999,1837,21.0
2000,1838,21.0
18,1839,24.0
2001,1840,24.0
19,1841,25.0
20,1842,26.0
2002,1843,26.0
2003,1844,26.0
21,1845,27.0
22,1846,28.0
2004,1847,28.0
23,1848,29.0
2005,1849,29.0
2006,1850,29.0
2007,1851,29.0
24,1852,30.0
25,1853,32.0
26,1854,33.0
2008,1855,33.0
27,1856,34.0
28,1857,35.0
29,1858,36.0
30,1859,37.0
31,1860,38.0
2009,1861,38.0
2010,1862,38.0
32,1863,40.0
2011,1864,40.0
2012,1865,40.0
2013,1866,40.0
33,1867,42.0
2014,1868,42.0
34,1869,43.0
35,1870,44.0
36,1871,45.0
37,1872,46.0
38,1873,48.0
2015,1874,48.0
39,1875,49.0
40,1876,53.0
2016,1877,53.0
41,1878,55.0
42,1879,56.0
43,1880,57.0
2017,1881,57.0
44,1882,60.0
45,1883,61.0
46,1884,64.0
47,1885,68.0
48,1886,70.0
49,1887,72.0
50,1888,75.0
51,1889,77.0
52,1890,82.0
53,1891,85.0
54,1892,86.0
55,1893,91.0
56,1894,92.0
57,1895,96.0
58,1896,99.0
59,1897,102.0
60,1898,108.0
61,1899,114.0
62,1900,117.0
63,1901,120.0
64,1902,125.0
65,1903,136.0
66,1904,141.0
67,1905,147.0
68,1906,153.0
69,1907,161.0
70,1908,176.0
71,1909,187.0
72,1910,197.0
73,1911,216.0
74,1912,237.0
75,1913,270.0
76,1914,300.0
77,1915,322.0
78,1916,348.0
79,1917,379.0
80,1918,395.0
81,1919,417.0
82,1920,432.0
83,1921,450.0
85,1922,479.0
86,1923,503.0
87,1924,524.0
88,1925,563.0
89,1926,599.0
90,1927,637.0
91,1928,670.0
92,1929,700.0
93,1930,739.0
94,1931,769.0
95,1932,818.0
96,1933,852.0
97,1934,890.0
98,1935,917.0
99,1936,954.0
100,1937,1001.0
101,1938,1057.0
102,1939,1112.0
103,1940,1175.0
104,1941,1207.0
105,1942,1245.0
106,1943,1290.0
107,1944,1336.0
108,1945,1362.0
109,1946,1386.0
110,1947,1407.0
111,1948,1423.0
112,1949,1447.0
113,1950,1500.0
114,1951,1546.0
115,1952,1598.0
116,1953,1655.0
117,1954,1729.0
118,1955,1808.0
119,1956,1893.0
120,1957,1981.0
121,1958,2086.0
122,1959,2179.0
123,1960,2334.0
124,1961,2479.0
125,1962,2667.0
126,1963,2789.0
127,1964,2912.0
128,1965,3054.0
129,1966,3184.0
130,1967,3337.0
131,1968,3476.0
132,1969,3611.0
133,1970,3756.0
134,1971,3894.0
135,1972,4021.0
136,1973,4167.0
137,1974,4308.0
138,1975,4427.0
139,1976,4561.0
140,1977,4674.0
141,1978,4800.0
142,1979,4915.0
143,1980,5042.0
145,1981,5253.0
146,1982,5371.0
147,1983,5469.0
148,1984,5596.0
149,1985,5696.0
150,1986,5789.0
151,1987,5876.0
152,1988,5941.0
153,1989,6020.0
154,1990,6083.0
155,1991,6131.0
156,1992,6181.0
157,1993,6226.0
158,1994,6257.0
159,1995,6291.0
160,1996,6324.0
161,1997,6352.0
162,1998,6382.0
163,1999,6406.0
164,2000,6434.0
165,2001,6473.0
166,2002,6503.0
167,2003,6525.0
168,2004,6544.0
169,2005,6572.0
170,2006,6607.0
171,2007,6645.0
172,2008,6677.0
173,2009,6708.0
174,2010,6753.0
175,2011,6782.0
176,2012,6823.0
177,2013,6852.0
178,2014,6886.0
179,2015,6905.0
180,2016,6927.0
181,2017,6951.0
