Year,Energy Consumption (exajoules)
1700,5.5456945152
1760,10.278638244
1800,20.35
1810,21.46
1820,22.55
1830,23.95
1840,26.28
1850,28.05
1860,28.82
1870,30.93
1880,34.31
1890,38.37
1900,43.56
1910,56.22
1920,64.67
1930,71.41
1940,81.1
1950,100.7
1951,105.205
1952,109.71
1953,114.215
1954,118.72
1955,123.225
1956,127.73
1957,132.235
1958,136.74
1959,141.245
1960,145.75
1961,153.51
1962,161.27
1963,169.03
1964,176.79
1965,156.177249198345
1966,164.676130929906
1967,170.826062908968
1968,181.121134745462
1969,193.585212470782
1970,205.567664360371
1971,214.033617557011
1972,225.332561115912
1973,238.132439843289
1974,239.187121755485
1975,240.137892071807
1976,253.227880554784
1977,262.061869062578
1978,270.211630316346
1979,279.664734395855
1980,277.934368754403
1981,276.48872816101
1982,275.122921391082
1983,279.260063646653
1984,292.563500631624
1985,300.56976500624
1986,307.112213863196
1987,317.925649868131
1988,329.92215064065
1989,337.043401887639
1990,340.640340357654
1991,343.111473167278
1992,345.790566776273
1993,347.902009196129
1994,352.477065989948
1995,359.600310809353
1996,370.094024723843
1997,374.048535062513
1998,376.733009183034
1999,383.518454417116
2000,393.067266865119
2001,397.800818226788
2002,406.759433108677
2003,422.106512281778
2004,442.236407404348
2005,458.037146044015
2006,471.761306137587
2007,486.394201122912
2008,493.239562245545
2009,485.605542819498
2010,510.00883894513
2011,521.274414366312
2012,528.461851078495
2013,538.972728855185
2014,545.146193850553
2015,550.452880051626
2016,555.91
2017,566.66
2018,582.38
2019,587.43
2020,564.01
2021,595.15
