Year of Completion,Name of Dam,Country
0,Nuwara Wewa,Sri Lanka
284,Qattinah,Syria
300,Nachchaduwa Wewa,Sri Lanka
300,Minneriya Wewa,Sri Lanka
386,Parakrama Samudra,Sri Lanka
1000,Thonnur Tank,India
1470,Otaniike,Japan
1592,Iwaseike,Japan
1633,Kamekoshiike,Japan
1661,Ogaike,Japan
1661,Nodaketameike,Japan
1662,Ishigamiike,Japan
1663,Niike,Japan
1671,Rajsamand,India
1678,Gokatsuraike,Japan
1710,Kayoichoike,Japan
1730,Jai Samand,India
1806,Valdeinfierno,Spain
1825,Lake Drummond,United States
1825,Great East Lake Dam,United States
1830,Songo Lock Dam,United States
1832,Hamilton Lake North Dam,United States
1832,Buckeye Lake Dam,United States
1832,Bow Lake,United States
1835,Moosehead Lake East Dam,United States
1836,West Grand Lake Dam,United States
1839,Kentucky River Lock and Dam 1,United States
1841,Grand Lake St. Marys West Embankment,United States
1842,Dollof Dam,United States
1845,Wilson Pond Dam,United States
1846,Newfound Lake,United States
1846,Loch Lochy,United Kingdom
1848,Merrimack River Dam,United States
1852,Indian Lake Dam,United States
1853,Woodhull Lake Dam,United States
1854,Crescent Lake Dam,United States
1856,Squam Lake,United States
1857,Yan Yean,Australia
1858,Mjosa,Norway
1858,Settons,France
1859,Katrine,United Kingdom
1859,Loch Venacher,United Kingdom
1860,Highland Lake,United States
1863,Deruyter Dam,United States
1867,Union Street Dam,United States
1869,Union Lake Dam,United States
1870,San Andreas,United States
1870,Locke Mills Dam,United States
1871,Ekrukh,India
1872,Panguitch Lake,United States
1872,Cuba Lake Dam,United States
1872,Boyds Corner Dam,United States
1872,Lower Karori,New Zealand
1873,Lake Fordyce,United States
1873,Massabesic Lake Dam,United States
1875,Lock Dam,United States
1876,Rhinelander,United States
1878,Dells,United States
1878,Carpenter Dam,United States
1878,Middle Branch Dam,United States
1879,Eel Weir,United States
1880,Keuka Lake Outlet Dam,United States
1880,Lake George Outlet,United States
1880,Stockbridge Bowl Dam,United States
1882,Salt Springs Valley,United States
1882,Lone Tree,United States
1882,Upper Mechanicville,United States
1882,El Villar,Spain
1883,Upper Dam,United States
1883,Middle Dam,United States
1884,Winnibigoshish Dam,United States
1884,Pokegama Lake Dam,United States
1885,Leech Lake Dam,United States
1885,Gardiner Water District Dam,United States
1885,Liez,France
1886,Pine River Dam,United States
1886,Paricha,India
1887,Cuyamaca,United States
1887,Errol,United States
1887,Puentes 3,Spain
1887,Mhaswad,India
1887,Wartook,Australia
1888,Lower Crystal Springs,United States
1888,Sweetwater Main,United States
1888,Otis Reservoir Dam,United States
1889,Gunnison,United States
1890,Rio Grande,United States
1890,Buena Vista,United States
1890,Hubbard Lake,United States
1890,Telos Dam,United States
1890,Goulburn Weir,Australia
1891,Mccoy Flat,United States
1892,Chabot,United States
1892,Sodom Dam,United States
1892,Oak Ridge Reservoir Dam,United States
1892,Vyrnwy,United Kingdom
1893,Red Rock 1,United States
1893,Barr Lake,United States
1893,Bog Brook Dam 1,United States
1894,Lake Loveland,United States
1894,Clinton Reservoir Dam,United States
1894,Thirlmere,United Kingdom
1895,Mona,United States
1895,Lake Hemet,United States
1895,Sandy Lake Dam and Lock,United States
1895,Carmel Dam,United States
1895,Titicus Dam,United States
1895,Tashiroike,Japan
1896,Nee Noshe,United States
1896,Queen,United States
1896,Sudbury Dam,United States
1896,Newberry,South Africa
1896,Hesaraghatta Reservoir,India
1896,Happy Valley,Australia
1897,Otter Creek,United States
1897,Amawalk Dam,United States
1897,Periyar,India
1898,Bijou Dam 1,United States
1898,Indian Lake Stone Dam,United States
1898,Prospect,Australia
1899,Marston Lake North Dam,United States
1899,Paula Pessoa,Brazil
1899,Serafim Dias,Brazil
1899,Trussu,Brazil
1899,Petronio Portel,Brazil
1900,Boyd Lake,United States
1900,Pruess Lake,United States
1900,Wind Lake,United States
1900,Jackson Lake,United States
1900,Horse Creek,United States
1900,Thurlow,United States
1900,Great Pond Storage Dam,United States
1900,Cobbosseecontee Outlet Dam,United States
1900,Emery Mills Dam,United States
1900,Otsego Lake Dam,United States
1900,West Eweburn,New Zealand
1901,Wheatland 2,United States
1901,Douglas,United States
1901,Chittenden Reservoir,United States
1901,Gouthwaite,United Kingdom
1901,Matopos,Zimbabwe
1902,Cascade 2,United States
1902,Devils Track Lake,United States
1902,Alverno,United States
1902,Skaneateles Lake Dam,United States
1902,Pakhal,India
1902,Assiut Barrage,Egypt
1903,Windsor 8,United States
1903,Fossil Creek,United States
1903,Twin Branch,United States
1903,Lows Lake Dam,United States
1903,Spier Falls,United States
1903,Shenipsit Lake,United States
1904,Tule Lake,United States
1904,La Jara,United States
1904,Adobe Creek,United States
1904,Lake Placid Dam,United States
1904,Lake Waukewan Dam,United States
1904,Craig-Goch,United Kingdom
1904,Caban Coch,United Kingdom
1904,Ennepe,Germany
1905,Flint Creek Dam,United States
1905,Minidoka,United States
1905,North Poudre 6,United States
1905,Cheesman,United States
1905,Groundhog,United States
1905,Saint Croix Falls,United States
1905,Empire,United States
1905,Union Falls,United States
1905,Old Forge Reservoir Dam,United States
1905,Tomhannock Reservoir Dam,United States
1905,Boonton Dam,United States
1905,Talla,United Kingdom
1905,Urft,Germany
1905,Gerrands,South Africa
1905,Pathari,India
1906,Post Falls Middle Channel,United States
1906,Eden Dike 1,United States
1906,Bergland Dam,United States
1906,Dolby,United States
1906,Woodland Dam,United States
1906,Wachusett Reservoir Dam,United States
1906,New Croton Reservoir Dam,United States
1906,Cedro,Brazil
1906,Charmes,France
1906,Lesna,Poland
1906,Utsuidaiichi,Japan
1907,Cold Springs,United States
1907,Madison Dam,United States
1907,Deer Flat Upper,United States
1907,Holcombe,United States
1907,West Buxton,United States
1907,Bellows Falls,United States
1907,Acarau Mirim,Brazil
1907,Frykfors Fryken,Sweden
1907,Premier Mine,South Africa
1907,Cataract,Australia
1908,James Lake,United States
1908,Marshall Lake,United States
1908,Narraguinnep,United States
1908,Mountain Home,United States
1908,Sabrina,United States
1908,Sanchez,United States
1908,Hatfield,United States
1908,Riverside,United States
1908,Two Buttes,United States
1908,Long-on-Deerskin,United States
1908,South Pelican,United States
1908,Brant Lake Upper Dam,United States
1908,Cross River Dam,United States
1908,Mosvatn,Norway
1908,Gullspang,Sweden
1908,Dalsfoss,Norway
1908,Bonkolo,South Africa
1908,Upper Karori,New Zealand
1908,Twin Lakes,United States
1909,Bumping Lake,United States
1909,Conconully,United States
1909,Lake Frances East Dam,United States
1909,Buffalo Bill,United States
1909,Laprele,United States
1909,Pathfinder Dike,United States
1909,Antero,United States
1909,Necaxa,Mexico
1909,Caughdenoy Dam,United States
1909,Rocky Creek,United States
1909,Inglis,United States
1909,Vernon,United States
1909,Blackwater,United Kingdom
1909,Gasset,Spain
1909,Rochebut,France
1909,Pahuj,India
1909,Dhekwan,India
1909,Khapri,India
1909,Lakhnavaram,India
1909,Taipingshao,China
1909,Stephens Creek,Australia
1910,Clear Lake Dike,United States
1910,East Park,United States
1910,Willow Creek,United States
1910,Como,United States
1910,Magic Dam,United States
1910,Barker,United States
1910,Clear Creek,United States
1910,Johnson,United States
1910,Relief,United States
1910,Crane Val Stor,United States
1910,Hillside,United States
1910,Cedar Falls,United States
1910,Belle Fourche,United States
1910,Rapidan,United States
1910,Julesburg 3,United States
1910,Horse Creek,United States
1910,Tenango,Mexico
1910,Matabitchuan,Canada
1910,Au Train,United States
1910,Kings Dam,United States
1910,High Falls,United States
1910,Leland Dam,United States
1910,Princeton,United States
1910,Bayview Lake,United States
1910,Millinocket Lake,United States
1910,Lochmere,United States
1910,Cambridge Reservoir Dam,United States
1910,Croton Falls Dam,United States
1910,Bolarque,Spain
1910,Rhodannenberg,Switzerland
1910,La Bouillouse,France
1910,Wadhwana,India
1910,Vani Vilasa Sagar,India
1911,Stave Falls,Canada
1911,Kachess,United States
1911,Lake Tapps Dike 2-B,United States
1911,Lake Valley,United States
1911,Modesto Reservoir,United States
1911,Warhorse Dam,United States
1911,Hauser Dam,United States
1911,Jackson Lake,United States
1911,Blackfoot,United States
1911,Santa Maria,United States
1911,Terrace,United States
1911,Bear Valley,United States
1911,Theodore Roosevelt,United States
1911,Fish Lake,United States
1911,Birch Lake,United States
1911,Cedar Lake,United States
1911,Lock and Dam 8,United States
1911,White Rock Dam,United States
1911,Rapides des Quinze,Canada
1911,Pikes Creek,United States
1911,Ocoee 1,United States
1911,Lloyd Shoals,United States
1911,Rock Forest,Canada
1911,Abbott Brook Dike,United States
1911,Aziscohos,United States
1911,Gosau,Austria
1911,Hemawas,India
1911,Morton,New Zealand
1911,Salmon Falls Dam,United States
1911,Green Lake Dam,United States
1912,Powell,Canada
1912,Coquitlam,Canada
1912,Little Camas Dam,United States
1912,Lake Hattie Dam,United States
1912,Upper Enterprise,United States
1912,Lyman,United States
1912,Morena,United States
1912,Gull Lake,United States
1912,Lake Alice 1,United States
1912,Prewitt,United States
1912,Silver Lake,United States
1912,Cooke,United States
1912,Delta Dam,United States
1912,Mud Lock and Canal Dam,United States
1912,Lake Geneva,United States
1912,Blewett Falls,United States
1912,Goat Rock,United States
1912,Panama Canal Dam,Panama
1912,Crescent Dams A-C,United States
1912,Howden,United Kingdom
1912,Pilchowice,Poland
1912,Kurobe,Japan
1913,Wickiup Reservoir,United States
1913,Lake Spaulding,United States
1913,Lake Tahoe,United States
1913,Ashton,United States
1913,Oneida,United States
1913,Standley Lake,United States
1913,Haiwee,United States
1913,Long Lake,United States
1913,Cucharas 5,United States
1913,Medina Lake Dam,United States
1913,Lake Independence Dam,United States
1913,Loud,United States
1913,Hamlin Lake Dam,United States
1913,Upper Beaver Dam,United States
1913,Defiance Power Dam,United States
1913,Lake Rockwell Dam,United States
1913,Somerset,United States
1913,Dam 3,United States
1913,Carite,United States
1913,La Pena,Spain
1913,El Burguillo,Spain
1913,Moehne,Germany
1913,Malter,Germany
1913,Loxton,South Africa
1913,Namal,Pakistan
1913,Ramtek,India
1914,Shawatians,Canada
1914,Jordan,Canada
1914,Masonry Dam,United States
1914,Drews Reservoir,United States
1914,Nelson Dike,United States
1914,Pablo,United States
1914,Arrowrock,United States
1914,Johnson 1,United States
1914,Sevier Bridge,United States
1914,Rocky Ford,United States
1914,Kettle Falls,United States
1914,Minatare,United States
1914,Lake Worth Dam,United States
1914,Caddo Dam,United States
1914,Bennetts Bridge,United States
1914,Hinckley,United States
